filename,class
1.jpg,0
2.jpg,0
3.jpg,0
4.jpg,0
5.jpg,0
6.jpg,0
7.jpg,1
8.jpg,1
9.jpg,1
10.jpg,1
11.jpg,1
12.jpg,1
13.jpg,1
14.jpg,1
15.jpg,10
16.jpg,10
17.jpg,10
18.jpg,10
19.jpg,10
20.jpg,10
21.jpg,10
22.jpg,11
23.jpg,11
24.jpg,11
25.jpg,11
26.jpg,11
27.jpg,11
28.jpg,11
29.jpg,11
30.jpg,12
31.jpg,12
32.jpg,12
33.jpg,12
34.jpg,12
35.jpg,12
36.jpg,12
37.jpg,12
38.jpg,12
39.jpg,2
40.jpg,2
41.jpg,2
42.jpg,2
43.jpg,2
44.jpg,2
45.jpg,2
46.jpg,2
47.jpg,3
48.jpg,3
49.jpg,3
50.jpg,3
51.jpg,3
52.jpg,3
53.jpg,3
54.jpg,4
55.jpg,4
56.jpg,4
57.jpg,4
58.jpg,4
59.jpg,4
60.jpg,4
61.jpg,4
62.jpg,4
63.jpg,4
64.jpg,5
65.jpg,5
66.jpg,5
67.jpg,5
68.jpg,5
69.jpg,5
70.jpg,5
71.jpg,5
72.jpg,6
73.jpg,6
74.jpg,6
75.jpg,6
76.jpg,6
77.jpg,6
78.jpg,6
79.jpg,6
80.jpg,8
81.jpg,8
82.jpg,8
83.jpg,8
84.jpg,8
85.jpg,8
86.jpg,8
87.jpg,9
88.jpg,9
89.jpg,9
90.jpg,9
91.jpg,9
